Periods,Interaction,Signals,Successful rate
1,1237.1,1577.73,100.0
2,1226.87,1478.65,100.0
3,1217.75,1420.87,100.0
4,1214.01,1386.88,100.0
5,1208.3,1364.1,100.0
6,1206.44,1349.28,100.0
7,1209.49,1349.31,100.0
8,1210.71,1346.93,100.0
9,1204.24,1323.51,100.0
10,1203.08,1315.76,100.0
11,1202.91,1313.99,100.0
12,1202.26,1307.41,100.0
13,1201.71,1303.91,100.0
14,1201.51,1299.71,100.0
15,1201.43,1297.31,100.0
16,1201.5,1294.74,100.0
17,1201.09,1290.73,100.0
18,1200.38,1288.25,100.0
19,1199.74,1286.1,100.0
20,1199.11,1282.67,100.0
21,1199.02,1280.5,100.0
22,1198.61,1278.41,100.0
23,1198.64,1277.72,100.0
24,1198.52,1276.4,100.0
25,1198.42,1274.69,100.0
26,1198.77,1273.99,100.0
27,1199.51,1274.54,100.0
28,1200.71,1277.44,100.0
29,1201.72,1279.77,100.0
30,1203.35,1284.3,100.0
31,1204.06,1285.77,100.0
32,1203.13,1282.26,100.0
33,1200.99,1274.08,100.0
34,1198.53,1265.67,100.0
35,1197.45,1262.15,100.0
36,1197.21,1260.83,100.0
37,1196.97,1260.05,100.0
38,1197.08,1260.31,100.0
39,1197.05,1260.2,100.0
40,1196.97,1259.8,100.0
41,1196.92,1259.59,100.0
42,1196.78,1258.72,100.0
43,1196.42,1257.1,100.0
44,1196.02,1255.1,100.0
45,1195.74,1253.7,100.0
46,1195.48,1252.4,100.0
47,1195.34,1251.7,100.0
48,1195.12,1250.6,100.0
49,1195.06,1250.3,100.0
50,1195.04,1250.2,100.0
51,1195.02,1250.1,100.0
52,1195.02,1250.1,100.0
53,1195.02,1250.1,100.0
54,1195.02,1250.1,100.0
55,1195.0,1250.0,100.0
56,1194.94,1249.7,100.0
57,1194.94,1249.7,100.0
58,1194.82,1249.1,100.0
59,1195.18,1252.1,100.0
60,1195.08,1250.86,100.0
61,1194.75,1249.35,100.0
62,1194.58,1248.3,100.0
63,1194.3,1246.98,100.0
64,1194.02,1245.5,100.0
65,1193.9,1244.73,100.0
66,1193.92,1244.49,100.0
67,1193.51,1242.83,100.0
68,1193.36,1242.04,100.0
69,1193.2,1241.24,100.0
70,1193.17,1241.05,100.0
71,1193.15,1240.95,100.0
72,1193.14,1240.86,100.0
73,1193.15,1240.87,100.0
74,1193.13,1240.77,100.0
75,1193.07,1240.47,100.0
76,1193.08,1240.48,100.0
77,1193.07,1240.47,100.0
78,1193.07,1240.47,100.0
79,1193.06,1240.38,100.0
80,1193.06,1240.38,100.0
81,1193.06,1240.38,100.0
82,1193.06,1240.38,100.0
83,1193.06,1240.38,100.0
84,1193.05,1240.29,100.0
85,1193.03,1240.19,100.0
86,1193.01,1240.09,100.0
87,1193.1,1240.33,100.0
88,1193.02,1240.01,100.0
89,1192.95,1239.7,100.0
90,1193.07,1239.96,100.0
91,1192.84,1239.2,100.0
92,1192.76,1238.8,100.0
93,1192.74,1238.7,100.0
94,1192.64,1238.2,100.0
95,1192.54,1237.7,100.0
96,1192.48,1237.4,100.0
97,1192.32,1236.6,100.0
98,1192.22,1236.1,100.0
99,1192.1,1235.5,100.0
100,1191.94,1234.7,100.0
101,1191.78,1233.9,100.0
102,1191.74,1233.7,100.0
103,1191.6,1233.0,100.0
104,1191.5,1232.5,100.0
105,1191.44,1232.2,100.0
106,1191.38,1231.9,100.0
107,1191.32,1231.6,100.0
108,1191.22,1231.1,100.0
109,1191.18,1230.9,100.0
110,1191.12,1230.6,100.0
111,1191.1,1230.5,100.0
112,1191.1,1230.5,100.0
113,1191.1,1230.5,100.0
114,1191.08,1230.4,100.0
115,1191.08,1230.4,100.0
116,1191.08,1230.4,100.0
117,1191.08,1230.4,100.0
118,1191.08,1230.4,100.0
119,1191.06,1230.3,100.0
120,1191.04,1230.2,100.0
121,1191.02,1230.1,100.0
122,1191.02,1230.1,100.0
123,1191.02,1230.1,100.0
124,1191.02,1230.1,100.0
125,1191.02,1230.1,100.0
126,1191.02,1230.1,100.0
127,1191.02,1230.1,100.0
128,1191.02,1230.1,100.0
129,1191.02,1230.1,100.0
130,1191.02,1230.1,100.0
131,1191.02,1230.1,100.0
132,1191.02,1230.1,100.0
133,1191.02,1230.1,100.0
134,1191.02,1230.1,100.0
135,1191.02,1230.1,100.0
136,1191.02,1230.1,100.0
137,1191.02,1230.1,100.0
138,1191.02,1230.1,100.0
139,1191.02,1230.1,100.0
140,1191.02,1230.1,100.0
141,1191.02,1230.1,100.0
142,1191.02,1230.1,100.0
143,1191.02,1230.1,100.0
144,1191.02,1230.1,100.0
145,1191.02,1230.1,100.0
146,1191.02,1230.1,100.0
147,1191.02,1230.1,100.0
148,1191.02,1230.1,100.0
149,1191.02,1230.1,100.0
150,1191.0,1230.0,100.0
151,1190.98,1229.9,100.0
152,1190.96,1229.8,100.0
153,1190.94,1229.7,100.0
154,1190.94,1229.7,100.0
155,1190.92,1229.6,100.0
156,1190.92,1229.6,100.0
157,1190.9,1229.5,100.0
158,1190.88,1229.4,100.0
159,1190.84,1229.2,100.0
160,1190.82,1229.1,100.0
161,1190.8,1229.0,100.0
162,1190.74,1228.7,100.0
163,1190.68,1228.4,100.0
164,1190.66,1228.3,100.0
165,1190.64,1228.2,100.0
166,1190.62,1228.1,100.0
167,1190.56,1227.8,100.0
168,1190.52,1227.6,100.0
