Valid time,Interaction,Signals,Successful rate
1,2205.0,6566.0,67.857143
2,1579.0,5886.0,67.772109
3,1461.0,6346.0,67.772109
4,1383.0,6481.0,67.857143
5,1344.0,6650.0,67.857143
6,1397.0,7237.0,67.857143
7,1319.0,6994.0,67.857143
8,1264.0,6768.0,67.857143
9,1367.0,7619.0,67.857143
10,1313.0,7398.0,67.857143
11,1304.0,7409.0,67.857143
12,1271.0,7244.0,67.857143
13,1225.0,6972.0,67.772109
14,1457.0,8559.0,67.857143
15,1420.0,8402.0,67.857143
16,1405.0,8390.0,67.857143
17,1400.0,8435.0,67.857143
18,1372.0,8281.0,67.857143
19,1367.0,8326.0,67.857143
20,1339.0,8158.0,67.857143
21,1355.0,8294.0,67.857143
22,1330.0,8169.0,67.857143
23,1302.0,7931.0,67.857143
24,1274.0,7693.0,67.857143
25,1737.0,10883.0,67.857143
26,1723.0,10841.0,67.857143
27,1717.0,10853.0,67.857143
28,1703.0,10825.0,67.857143
29,1682.0,10769.0,67.857143
30,1668.0,10713.0,67.857143
31,1678.0,10805.0,67.857143
32,1664.0,10763.0,67.857143
33,1650.0,10700.0,67.857143
34,1645.0,10745.0,67.857143
35,1645.0,10759.0,67.857143
36,1631.0,10703.0,67.857143
37,1617.0,10640.0,67.857143
38,1603.0,10563.0,67.857143
39,1633.0,10783.0,67.857143
40,1619.0,10720.0,67.857143
41,1605.0,10643.0,67.857143
42,1605.0,10664.0,67.857143
43,1584.0,10573.0,67.857143
44,1600.0,10709.0,67.857143
45,1586.0,10597.0,67.857143
46,1572.0,10478.0,67.857143
47,1572.0,10478.0,67.857143
48,1558.0,10359.0,67.857143
49,1558.0,10359.0,67.857143
50,1554.0,10332.0,67.857143
51,1554.0,10332.0,67.857143
52,1540.0,10213.0,67.857143
53,1526.0,10094.0,67.857143
54,1526.0,10094.0,67.857143
55,1512.0,9975.0,67.857143
56,2366.0,15673.0,67.857143
57,2359.0,15708.0,67.857143
58,2359.0,15729.0,67.857143
59,2359.0,15764.0,67.857143
60,2359.0,15799.0,67.857143
61,2359.0,15827.0,67.857143
62,2359.0,15855.0,67.857143
63,2359.0,15876.0,67.857143
64,2359.0,15918.0,67.857143
65,2359.0,15939.0,67.857143
66,2359.0,15967.0,67.857143
67,2359.0,15995.0,67.857143
68,2359.0,16030.0,67.857143
69,2359.0,16037.0,67.857143
70,2359.0,16086.0,67.857143
71,2359.0,16093.0,67.857143
72,2359.0,16135.0,67.857143
73,2359.0,16142.0,67.857143
74,2359.0,16177.0,67.857143
75,2359.0,16184.0,67.857143
76,2359.0,16219.0,67.857143
77,2359.0,16247.0,67.857143
78,2359.0,16268.0,67.857143
79,2359.0,16289.0,67.857143
80,2359.0,16317.0,67.857143
81,2359.0,16331.0,67.857143
82,2359.0,16366.0,67.857143
83,2359.0,16380.0,67.857143
84,2359.0,16401.0,67.857143
85,2352.0,16408.0,67.857143
86,2352.0,16436.0,67.857143
87,2352.0,16464.0,67.857143
88,2352.0,16471.0,67.857143
89,2352.0,16506.0,67.857143
90,2352.0,16506.0,67.857143
91,2352.0,16541.0,67.857143
92,2352.0,16562.0,67.857143
93,2352.0,16576.0,67.857143
94,2352.0,16590.0,67.857143
95,2352.0,16604.0,67.857143
96,2352.0,16639.0,67.857143
97,2352.0,16646.0,67.857143
