Periods,Interaction,Signals,Successful rate
1,1236.0,1571.0,100.0
2,1232.0,1486.0,100.0
3,1223.0,1437.0,100.0
4,1215.0,1390.0,100.0
5,1209.0,1368.0,100.0
6,1207.0,1350.0,100.0
7,1211.0,1361.0,100.0
8,1213.0,1355.0,100.0
9,1204.0,1323.0,100.0
10,1202.0,1313.0,100.0
11,1202.0,1313.0,100.0
12,1202.0,1305.0,100.0
13,1202.0,1305.0,100.0
14,1201.0,1296.0,100.0
15,1202.0,1297.0,100.0
16,1202.0,1297.0,100.0
17,1200.0,1287.0,100.0
18,1202.0,1289.0,100.0
19,1198.0,1285.0,100.0
20,1200.0,1287.0,100.0
21,1199.0,1278.0,100.0
22,1199.0,1278.0,100.0
23,1199.0,1278.0,100.0
24,1199.0,1278.0,100.0
25,1199.0,1278.0,100.0
26,1198.0,1269.0,100.0
27,1198.0,1269.0,100.0
28,1198.0,1269.0,100.0
29,1198.0,1269.0,100.0
30,1198.0,1269.0,100.0
31,1198.0,1269.0,100.0
32,1205.0,1291.0,100.0
33,1197.0,1260.0,100.0
34,1197.0,1260.0,100.0
35,1197.0,1260.0,100.0
36,1197.0,1260.0,100.0
37,1197.0,1260.0,100.0
38,1197.0,1260.0,100.0
39,1197.0,1260.0,100.0
40,1197.0,1260.0,100.0
41,1197.0,1260.0,100.0
42,1197.0,1260.0,100.0
43,1197.0,1260.0,100.0
44,1197.0,1260.0,100.0
45,1195.0,1250.0,100.0
46,1195.0,1250.0,100.0
47,1195.0,1250.0,100.0
48,1195.0,1250.0,100.0
49,1195.0,1250.0,100.0
50,1195.0,1250.0,100.0
51,1195.0,1250.0,100.0
52,1195.0,1250.0,100.0
53,1195.0,1250.0,100.0
54,1195.0,1250.0,100.0
55,1195.0,1250.0,100.0
56,1195.0,1250.0,100.0
57,1195.0,1250.0,100.0
58,1195.0,1250.0,100.0
59,1195.0,1250.0,100.0
60,1195.0,1250.0,100.0
61,1195.0,1250.0,100.0
62,1195.0,1250.0,100.0
63,1195.0,1250.0,100.0
64,1195.0,1250.0,100.0
65,1195.0,1250.0,100.0
66,1193.0,1240.0,100.0
67,1193.0,1240.0,100.0
68,1193.0,1240.0,100.0
69,1193.0,1240.0,100.0
70,1193.0,1240.0,100.0
71,1193.0,1240.0,100.0
72,1193.0,1240.0,100.0
73,1193.0,1240.0,100.0
74,1193.0,1240.0,100.0
75,1193.0,1240.0,100.0
76,1193.0,1240.0,100.0
77,1193.0,1240.0,100.0
78,1193.0,1240.0,100.0
79,1193.0,1240.0,100.0
80,1193.0,1240.0,100.0
81,1193.0,1240.0,100.0
82,1193.0,1240.0,100.0
83,1193.0,1240.0,100.0
84,1193.0,1240.0,100.0
85,1193.0,1240.0,100.0
86,1193.0,1240.0,100.0
87,1193.0,1240.0,100.0
88,1193.0,1240.0,100.0
89,1193.0,1240.0,100.0
90,1193.0,1240.0,100.0
91,1193.0,1240.0,100.0
92,1193.0,1240.0,100.0
93,1193.0,1240.0,100.0
94,1193.0,1240.0,100.0
95,1193.0,1240.0,100.0
96,1193.0,1240.0,100.0
97,1193.0,1240.0,100.0
98,1193.0,1240.0,100.0
99,1193.0,1240.0,100.0
100,1193.0,1240.0,100.0
101,1193.0,1240.0,100.0
102,1193.0,1240.0,100.0
103,1193.0,1240.0,100.0
104,1193.0,1240.0,100.0
105,1193.0,1240.0,100.0
106,1191.0,1230.0,100.0
107,1191.0,1230.0,100.0
108,1191.0,1230.0,100.0
109,1191.0,1230.0,100.0
110,1191.0,1230.0,100.0
111,1191.0,1230.0,100.0
112,1191.0,1230.0,100.0
113,1191.0,1230.0,100.0
114,1191.0,1230.0,100.0
115,1191.0,1230.0,100.0
116,1191.0,1230.0,100.0
117,1191.0,1230.0,100.0
118,1191.0,1230.0,100.0
119,1191.0,1230.0,100.0
120,1191.0,1230.0,100.0
121,1191.0,1230.0,100.0
122,1191.0,1230.0,100.0
123,1191.0,1230.0,100.0
124,1191.0,1230.0,100.0
125,1191.0,1230.0,100.0
126,1191.0,1230.0,100.0
127,1191.0,1230.0,100.0
128,1191.0,1230.0,100.0
129,1191.0,1230.0,100.0
130,1191.0,1230.0,100.0
131,1191.0,1230.0,100.0
132,1191.0,1230.0,100.0
133,1191.0,1230.0,100.0
134,1191.0,1230.0,100.0
135,1191.0,1230.0,100.0
136,1191.0,1230.0,100.0
137,1191.0,1230.0,100.0
138,1191.0,1230.0,100.0
139,1191.0,1230.0,100.0
140,1191.0,1230.0,100.0
141,1191.0,1230.0,100.0
142,1191.0,1230.0,100.0
143,1191.0,1230.0,100.0
144,1191.0,1230.0,100.0
145,1191.0,1230.0,100.0
146,1191.0,1230.0,100.0
147,1191.0,1230.0,100.0
148,1191.0,1230.0,100.0
149,1191.0,1230.0,100.0
150,1191.0,1230.0,100.0
151,1191.0,1230.0,100.0
152,1191.0,1230.0,100.0
153,1191.0,1230.0,100.0
154,1191.0,1230.0,100.0
155,1191.0,1230.0,100.0
156,1191.0,1230.0,100.0
157,1191.0,1230.0,100.0
158,1191.0,1230.0,100.0
159,1191.0,1230.0,100.0
160,1191.0,1230.0,100.0
161,1191.0,1230.0,100.0
162,1191.0,1230.0,100.0
163,1191.0,1230.0,100.0
164,1191.0,1230.0,100.0
165,1191.0,1230.0,100.0
166,1191.0,1230.0,100.0
167,1191.0,1230.0,100.0
168,1191.0,1230.0,100.0
