Periods,Interaction,Signals,Successful rate
1,2156.0,5964.0,67.687075
2,1549.0,5141.0,67.346939
3,1327.0,4815.0,67.346939
4,1213.0,4637.0,67.346939
5,1140.0,4524.0,67.346939
6,1097.0,4449.0,67.346939
7,1061.0,4381.0,67.346939
8,1036.0,4340.0,67.346939
9,1020.0,4316.0,67.346939
10,956.0,4220.0,67.602041
11,993.0,4265.0,67.346939
12,934.0,4166.0,67.687075
13,959.0,4207.0,67.346939
14,943.0,4183.0,67.431973
15,957.0,4197.0,67.346939
16,948.0,4180.0,67.346939
17,939.0,4163.0,67.346939
18,916.0,4132.0,67.431973
19,907.0,4115.0,67.431973
20,905.0,4105.0,67.431973
21,905.0,4105.0,67.431973
22,896.0,4088.0,67.431973
23,896.0,4088.0,67.431973
24,869.0,4037.0,67.602041
25,910.0,4102.0,67.346939
26,910.0,4102.0,67.346939
27,908.0,4092.0,67.346939
28,908.0,4092.0,67.346939
29,878.0,4054.0,67.431973
30,876.0,4044.0,67.431973
31,851.0,4003.0,67.602041
32,851.0,4003.0,67.602041
33,899.0,4075.0,67.346939
34,890.0,4058.0,67.346939
35,867.0,4027.0,67.431973
36,867.0,4027.0,67.431973
37,890.0,4058.0,67.346939
38,865.0,4017.0,67.431973
39,865.0,4017.0,67.431973
40,840.0,3976.0,67.602041
41,888.0,4048.0,67.346939
42,888.0,4048.0,67.346939
43,856.0,4000.0,67.431973
44,831.0,3959.0,67.602041
45,856.0,4000.0,67.431973
46,856.0,4000.0,67.431973
47,856.0,4000.0,67.431973
48,856.0,4000.0,67.431973
49,877.0,4021.0,67.346939
50,829.0,3949.0,67.602041
51,877.0,4021.0,67.346939
52,877.0,4021.0,67.346939
53,877.0,4021.0,67.346939
54,877.0,4021.0,67.346939
55,875.0,4011.0,67.346939
56,875.0,4011.0,67.346939
57,868.0,4004.0,67.346939
58,868.0,4004.0,67.346939
59,868.0,4004.0,67.346939
60,868.0,4004.0,67.346939
61,868.0,4004.0,67.346939
62,868.0,4004.0,67.346939
63,868.0,4004.0,67.346939
64,866.0,3994.0,67.346939
65,866.0,3994.0,67.346939
66,866.0,3994.0,67.346939
67,866.0,3994.0,67.346939
68,866.0,3994.0,67.346939
69,866.0,3994.0,67.346939
70,866.0,3994.0,67.346939
71,866.0,3994.0,67.346939
72,866.0,3994.0,67.346939
73,866.0,3994.0,67.346939
74,866.0,3994.0,67.346939
75,866.0,3994.0,67.346939
76,866.0,3994.0,67.346939
77,864.0,3984.0,67.346939
78,864.0,3984.0,67.346939
79,864.0,3984.0,67.346939
80,864.0,3984.0,67.346939
81,864.0,3984.0,67.346939
82,864.0,3984.0,67.346939
83,864.0,3984.0,67.346939
84,864.0,3984.0,67.346939
85,857.0,3977.0,67.346939
86,857.0,3977.0,67.346939
87,857.0,3977.0,67.346939
88,857.0,3977.0,67.346939
89,857.0,3977.0,67.346939
90,857.0,3977.0,67.346939
91,857.0,3977.0,67.346939
92,857.0,3977.0,67.346939
93,857.0,3977.0,67.346939
94,857.0,3977.0,67.346939
95,855.0,3967.0,67.346939
96,855.0,3967.0,67.346939
97,855.0,3967.0,67.346939
98,855.0,3967.0,67.346939
99,855.0,3967.0,67.346939
100,855.0,3967.0,67.346939
101,855.0,3967.0,67.346939
102,855.0,3967.0,67.346939
103,855.0,3967.0,67.346939
104,855.0,3967.0,67.346939
105,855.0,3967.0,67.346939
106,855.0,3967.0,67.346939
107,855.0,3967.0,67.346939
108,855.0,3967.0,67.346939
109,855.0,3967.0,67.346939
110,855.0,3967.0,67.346939
111,855.0,3967.0,67.346939
112,855.0,3967.0,67.346939
113,855.0,3967.0,67.346939
114,855.0,3967.0,67.346939
115,855.0,3967.0,67.346939
116,855.0,3967.0,67.346939
117,853.0,3957.0,67.346939
118,853.0,3957.0,67.346939
119,853.0,3957.0,67.346939
120,853.0,3957.0,67.346939
121,853.0,3957.0,67.346939
122,853.0,3957.0,67.346939
123,853.0,3957.0,67.346939
124,853.0,3957.0,67.346939
125,853.0,3957.0,67.346939
126,853.0,3957.0,67.346939
127,853.0,3957.0,67.346939
128,853.0,3957.0,67.346939
129,853.0,3957.0,67.346939
130,853.0,3957.0,67.346939
131,853.0,3957.0,67.346939
132,853.0,3957.0,67.346939
133,853.0,3957.0,67.346939
134,853.0,3957.0,67.346939
135,853.0,3957.0,67.346939
136,853.0,3957.0,67.346939
137,853.0,3957.0,67.346939
138,853.0,3957.0,67.346939
139,853.0,3957.0,67.346939
140,853.0,3957.0,67.346939
141,853.0,3957.0,67.346939
142,853.0,3957.0,67.346939
143,853.0,3957.0,67.346939
144,853.0,3957.0,67.346939
145,853.0,3957.0,67.346939
146,851.0,3947.0,67.346939
147,851.0,3947.0,67.346939
148,851.0,3947.0,67.346939
149,851.0,3947.0,67.346939
150,851.0,3947.0,67.346939
151,828.0,3916.0,67.431973
152,851.0,3947.0,67.346939
153,851.0,3947.0,67.346939
154,828.0,3916.0,67.431973
155,851.0,3947.0,67.346939
156,851.0,3947.0,67.346939
157,851.0,3947.0,67.346939
158,851.0,3947.0,67.346939
159,851.0,3947.0,67.346939
160,851.0,3947.0,67.346939
161,851.0,3947.0,67.346939
162,851.0,3947.0,67.346939
163,851.0,3947.0,67.346939
164,851.0,3947.0,67.346939
165,851.0,3947.0,67.346939
166,851.0,3947.0,67.346939
167,851.0,3947.0,67.346939
168,851.0,3947.0,67.346939
